,,,CargaClientes,DFT Carga Clientes,Clientes.csv,Fila rechazada en DFT Carga Clientes,Cliente inactivo,2026-07-03 20:31:24.507000000
,,,CargaClientes,DFT Carga Clientes,Clientes.csv,Fila rechazada en DFT Carga Clientes,Cliente inactivo,2026-07-03 20:31:24.507000000
,,,CargaClientes,DFT Carga Clientes,Clientes.csv,Fila rechazada en DFT Carga Clientes,Cliente inactivo,2026-07-03 20:31:24.507000000
,,,CargaClientes,DFT Carga Clientes,Clientes.csv,Fila rechazada en DFT Carga Clientes,Cliente inactivo,2026-07-03 20:31:24.507000000
,,,CargaClientes,DFT Carga Clientes,Clientes.csv,Fila rechazada en DFT Carga Clientes,Cliente inactivo,2026-07-03 20:31:24.507000000
,,,CargaClientes,DFT Carga Clientes,Clientes.csv,Fila rechazada en DFT Carga Clientes,Cliente inactivo,2026-07-03 20:31:24.507000000
,,,CargaClientes,DFT Carga Clientes,Clientes.csv,Fila rechazada en DFT Carga Clientes,Cliente inactivo,2026-07-03 20:31:24.507000000
,,,CargaClientes,DFT Carga Clientes,Clientes.csv,Fila rechazada en DFT Carga Clientes,Cliente inactivo,2026-07-03 20:31:24.507000000
,,,CargaClientes,DFT Carga Clientes,Clientes.csv,Fila rechazada en DFT Carga Clientes,Cliente inactivo,2026-07-03 20:31:24.507000000
,,,CargaClientes,DFT Carga Clientes,Clientes.csv,Fila rechazada en DFT Carga Clientes,Cliente inactivo,2026-07-03 20:31:24.507000000
,,,CargaClientes,DFT Carga Clientes,Clientes.csv,Fila rechazada en DFT Carga Clientes,Cliente inactivo,2026-07-03 20:31:24.507000000
,,,CargaClientes,DFT Carga Clientes,Clientes.csv,Fila rechazada en DFT Carga Clientes,Cliente inactivo,2026-07-03 20:31:24.507000000
,,,CargaClientes,DFT Carga Clientes,Clientes.csv,Fila rechazada en DFT Carga Clientes,Cliente inactivo,2026-07-03 20:31:24.507000000
,,,CargaClientes,DFT Carga Clientes,Clientes.csv,Fila rechazada en DFT Carga Clientes,Cliente inactivo,2026-07-03 20:31:24.507000000
,,,CargaClientes,DFT Carga Clientes,Clientes.csv,Fila rechazada en DFT Carga Clientes,Cliente inactivo,2026-07-03 20:31:24.507000000
,,,CargaClientes,DFT Carga Clientes,Clientes.csv,Fila rechazada en DFT Carga Clientes,Cliente inactivo,2026-07-03 20:31:24.507000000
,,,CargaClientes,DFT Carga Clientes,Clientes.csv,Fila rechazada en DFT Carga Clientes,Cliente inactivo,2026-07-03 20:31:24.507000000
,,,CargaClientes,DFT Carga Clientes,Clientes.csv,Fila rechazada en DFT Carga Clientes,Cliente inactivo,2026-07-03 20:31:24.507000000
,,,CargaClientes,DFT Carga Clientes,Clientes.csv,Fila rechazada en DFT Carga Clientes,Cliente inactivo,2026-07-03 20:31:24.507000000
,,,CargaClientes,DFT Carga Clientes,Clientes.csv,Fila rechazada en DFT Carga Clientes,Cliente inactivo,2026-07-03 20:31:24.507000000
,,,CargaClientes,DFT Carga Clientes,Clientes.csv,Fila rechazada en DFT Carga Clientes,Cliente inactivo,2026-07-03 20:31:24.507000000
,,,CargaClientes,DFT Carga Clientes,Clientes.csv,Fila rechazada en DFT Carga Clientes,Cliente inactivo,2026-07-03 20:31:24.507000000
,,,CargaClientes,DFT Carga Clientes,Clientes.csv,Fila rechazada en DFT Carga Clientes,Cliente inactivo,2026-07-03 20:31:24.507000000
,,,CargaClientes,DFT Carga Clientes,Clientes.csv,Fila rechazada en DFT Carga Clientes,Cliente inactivo,2026-07-03 20:31:24.507000000
,,,CargaClientes,DFT Carga Clientes,Clientes.csv,Fila rechazada en DFT Carga Clientes,Cliente inactivo,2026-07-03 20:31:24.507000000
,,,CargaClientes,DFT Carga Clientes,Clientes.csv,Fila rechazada en DFT Carga Clientes,Cliente inactivo,2026-07-03 20:31:24.507000000
,,,CargaClientes,DFT Carga Clientes,Clientes.csv,Fila rechazada en DFT Carga Clientes,Cliente inactivo,2026-07-03 20:31:24.507000000
,,,CargaClientes,DFT Carga Clientes,Clientes.csv,Fila rechazada en DFT Carga Clientes,Cliente inactivo,2026-07-03 20:31:24.507000000
,,,CargaClientes,DFT Carga Clientes,Clientes.csv,Fila rechazada en DFT Carga Clientes,Cliente inactivo,2026-07-03 20:31:24.507000000
,,,CargaClientes,DFT Carga Clientes,Clientes.csv,Fila rechazada en DFT Carga Clientes,Cliente inactivo,2026-07-03 20:31:24.507000000
